t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
727100.0,2.058999999999969,3.8518000000000256,6.371200000000044,8.644800000000032,10.324900000000014,11.96859999999998,13.577499999999986,15.087799999999959,16.627499999999998,18.125499999999988,19.52389999999997,21.014599999999973,22.49249999999995,23.98520000000002,25.44459999999998,26.87420000000003,28.303800000000024,29.722699999999975,31.112099999999998,32.498400000000004
728001.0,2.0545999999999935,3.8432999999999993,6.358699999999999,8.628600000000006,10.304599999999994,11.94440000000003,13.549300000000017,15.055900000000008,16.59190000000001,18.086299999999994,19.48109999999997,20.968200000000024,22.4409,23.93130000000002,25.38719999999995,26.813300000000027,28.23939999999999,29.65469999999999,31.040599999999984,32.423400000000015
728100.0,2.051400000000001,3.8374000000000024,6.350200000000029,8.61749999999995,10.290800000000047,11.927999999999997,13.530399999999986,15.034500000000037,16.567999999999984,18.060000000000002,19.45240000000001,20.937100000000044,22.40790000000004,23.895399999999995,25.349099999999964,26.772899999999993,28.19659999999999,29.60949999999997,30.993100000000027,32.373500000000035
729001.0,2.0470000000000255,3.828900000000033,6.337800000000016,8.60129999999998,10.27049999999997,11.90379999999999,13.502399999999966,15.002700000000004,16.532500000000027,18.020899999999983,19.409700000000043,20.890800000000013,22.35809999999998,23.841700000000003,25.2919,26.712199999999996,28.13240000000002,29.541799999999967,30.921899999999994,32.2989
729100.0,2.043900000000008,3.823099999999954,6.329299999999989,8.590300000000013,10.256799999999998,11.887500000000045,13.483599999999967,14.981400000000008,16.508699999999976,17.994799999999998,19.38119999999998,20.859800000000007,22.324799999999982,23.80590000000001,25.253899999999987,26.671899999999994,28.089800000000025,29.496800000000007,30.874599999999987,32.249300000000005
730001.0,2.0394999999999754,3.814700000000016,6.3168999999999755,8.574099999999987,10.23660000000001,11.863500000000045,13.455699999999979,14.949799999999982,16.47339999999997,17.955900000000042,19.33869999999996,20.813699999999983,22.275199999999984,23.752400000000023,25.197000000000003,26.611499999999978,28.02589999999998,29.429399999999987,30.803699999999992,32.17490000000004
730100.0,2.036399999999958,3.8087999999999624,6.308400000000006,8.56310000000002,10.223000000000013,11.847199999999987,13.43689999999998,14.928499999999985,16.449700000000007,17.9298,19.310299999999984,20.78280000000001,22.24210000000005,23.716700000000003,25.159099999999967,26.571399999999983,27.98339999999996,29.384599999999978,30.75660000000005,32.125500000000045
731001.0,2.0319999999999823,3.800399999999968,6.296100000000024,8.547000000000025,10.2029,11.823199999999986,13.409099999999967,14.897000000000048,16.414500000000032,17.89100000000002,19.267999999999972,20.73689999999999,22.192800000000034,23.663400000000024,25.102499999999964,26.511300000000006,27.91980000000001,29.317499999999995,30.686000000000035,32.051499999999976
731100.0,2.0289000000000215,3.7946000000000026,6.287700000000029,8.536099999999976,10.189300000000003,11.807099999999991,13.3904,14.875900000000001,16.390899999999988,17.865099999999984,19.239700000000028,20.706200000000024,22.15979999999996,23.62779999999998,25.064700000000016,26.471299999999985,27.877499999999998,29.272899999999993,30.63910000000004,32.002200000000016
732001.0,2.024600000000021,3.786299999999983,6.2753999999999905,8.520100000000014,10.169200000000046,11.783200000000022,13.362799999999993,14.844500000000039,16.355899999999963,17.82650000000001,19.19749999999999,20.660500000000013,22.11070000000001,23.574700000000007,25.00830000000002,26.411400000000015,27.814099999999996,29.206000000000017,30.56880000000001,31.928499999999985
732100.0,2.021500000000003,3.780499999999961,6.266999999999996,8.509200000000021,10.155699999999968,11.767100000000028,13.344100000000026,14.82340000000005,16.332400000000007,17.80060000000003,19.16930000000002,20.62990000000002,22.077799999999968,23.539300000000026,24.970699999999965,26.3716,27.77199999999999,29.16160000000002,30.522100000000023,31.879500000000007
733001.0,2.0171000000000276,3.772199999999998,6.254799999999989,8.493200000000002,10.135699999999986,11.743300000000033,13.316599999999994,14.792200000000037,16.297500000000014,17.762100000000032,19.12729999999999,20.584299999999985,22.02879999999999,23.486400000000003,24.914499999999975,26.311900000000037,27.70890000000003,29.095000000000027,30.452099999999973,31.806100000000015
733100.0,2.013999999999953,3.766399999999976,6.246399999999994,8.482399999999984,10.122199999999964,11.727199999999982,13.298000000000002,14.771200000000022,16.274099999999976,17.736400000000003,19.099199999999996,20.5539,21.996000000000038,23.451000000000022,24.877099999999984,26.27230000000003,27.66700000000003,29.050800000000038,30.405599999999993,31.757300000000043
734001.0,2.0096999999999525,3.758100000000013,6.234199999999987,8.466499999999996,10.102399999999989,11.70350000000002,13.270600000000002,14.74010000000004,16.239300000000014,17.698099999999954,19.05740000000003,20.508500000000026,21.947299999999984,23.398300000000006,24.8211,26.212800000000016,27.604100000000017,28.984500000000025,30.33589999999998,31.684200000000033
734100.0,2.0066999999999666,3.752400000000023,6.225900000000024,8.455699999999979,10.088900000000024,11.6875,13.252100000000041,14.719100000000026,16.21599999999995,17.672399999999982,19.029499999999985,20.47819999999996,21.914499999999975,23.363099999999974,24.783799999999985,26.173400000000015,27.56239999999997,28.94040000000001,30.289500000000032,31.63560000000001
735001.0,2.002399999999966,3.744100000000003,6.213799999999992,8.439799999999991,10.069099999999992,11.663900000000012,13.22479999999996,14.688199999999995,16.181399999999996,17.634299999999996,18.98780000000005,20.432999999999993,21.865999999999985,23.310599999999965,24.72800000000001,26.114199999999983,27.49970000000002,28.87439999999998,30.220100000000002,31.56279999999998
735100.0,1.9993000000000052,3.738400000000013,6.205500000000029,8.429100000000005,10.055800000000033,11.647999999999968,13.206299999999999,14.667299999999955,16.158200000000022,17.6087,18.95999999999998,20.402800000000013,21.833399999999983,23.275500000000022,24.6909,26.074900000000014,27.458199999999977,28.830600000000004,30.173999999999978,31.514499999999998
736001.0,1.9950000000000045,3.730200000000025,6.193399999999997,8.413299999999992,10.036000000000001,11.624500000000012,13.179100000000005,14.636500000000012,16.123699999999985,17.57080000000002,18.91850000000005,20.357799999999997,21.785000000000025,23.223100000000045,24.635299999999972,26.015900000000045,27.39579999999995,28.76479999999998,30.104899999999986,31.441900000000032
736100.0,1.9920000000000186,3.7245000000000346,6.185099999999977,8.402600000000007,10.022699999999986,11.608600000000024,13.160799999999995,14.615700000000004,16.100599999999986,17.545299999999997,18.890800000000013,20.327699999999993,21.752499999999998,23.18810000000002,24.598299999999995,25.976800000000026,27.3544,28.721100000000035,30.058899999999994,31.3938
737001.0,1.987700000000018,3.7162999999999897,6.173100000000034,8.386900000000026,10.00309999999996,11.585199999999986,13.133699999999976,14.58499999999998,16.066200000000038,17.507499999999993,18.849500000000035,20.282899999999984,21.704200000000014,23.135899999999992,24.543000000000006,25.91809999999998,27.29230000000001,28.655599999999993,29.990099999999984,31.32159999999999
